"","gutenberg_id","text"
"56",120,"     10.  THE VOYAGE . . . . . . . . . . . . . . .  64"
"57",120,"     11.  WHAT I HEARD IN THE APPLE BARREL . . . .  70"
"58",120,"     12.  COUNCIL OF WAR . . . . . . . . . . . . .  76"
"59",120,""
"60",120,"     PART THREE"
"61",120,"     My Shore Adventure"
"62",120,""
"63",120,"     13.  HOW MY SHORE ADVENTURE BEGAN . . . . . .  82"
"64",120,"     14.  THE FIRST BLOW . . . . . . . . . . . . .  87"
"65",120,"     15.  THE MAN OF THE ISLAND. . . . . . . . . .  93"
"66",120,""
"67",120,"     PART FOUR"
"68",120,"     The Stockade"
"69",120,""
"70",120,"     16.  NARRATIVE CONTINUED BY THE DOCTOR:"
"71",120,"            HOW THE SHIP WAS ABANDONED . . . . . . 100"
"72",120,"     17.  NARRATIVE CONTINUED BY THE DOCTOR:"
"73",120,"            THE JOLLY-BOAT'S LAST TRIP . . . . . . 105"
"74",120,"     18.  NARRATIVE CONTINUED BY THE DOCTOR:"
"75",120,"            END OF THE FIRST DAY'S FIGHTING  . . . 109"
"76",120,"     19.  NARRATIVE RESUMED BY JIM HAWKINS:"
"77",120,"            THE GARRISON IN THE STOCKADE . . . . . 114"
"78",120,"     20.  SILVER'S EMBASSY . . . . . . . . . . . . 120"
"79",120,"     21.  THE ATTACK . . . . . . . . . . . . . . . 125"
"80",120,""
"81",120,"     PART FIVE"
"82",120,"     My Sea Adventure"
"83",120,""
"84",120,"     22.  HOW MY SEA ADVENTURE BEGAN . . . . . . . 132"
"85",120,"     23.  THE EBB-TIDE RUNS  . . . . . . . . . . . 138"
"86",120,"     24.  THE CRUISE OF THE CORACLE  . . . . . . . 143"
"87",120,"     25.  I STRIKE THE JOLLY ROGER . . . . . . . . 148"
"88",120,"     26.  ISRAEL HANDS . . . . . . . . . . . . . . 153"
"89",120,"     27.  ""PIECES OF EIGHT""  . . . . . . . . . . . 161"
"90",120,""
"91",120,"     PART SIX"
"92",120,"     Captain Silver"
"93",120,""
"94",120,"     28.  IN THE ENEMY'S CAMP  . . . . . . . . . . 168"
"95",120,"     29.  THE BLACK SPOT AGAIN . . . . . . . . . . 176"
"96",120,"     30.  ON PAROLE  . . . . . . . . . . . . . . . 182"
"97",120,"     31.  THE TREASURE-HUNT--FLINT'S POINTER . . . 189"
"98",120,"     32.  THE TREASURE-HUNT--THE VOICE AMONG"
"99",120,"            THE TREES  . . . . . . . . . . . . . . 195"
"100",120,"     33.  THE FALL OF A CHIEFTAIN  . . . . . . . . 201"
"101",120,"     34.  AND LAST . . . . . . . . . . . . . . . . 207"
"102",120,""
"103",120,""
"104",120,""
"105",120,""
"106",120,"TREASURE ISLAND"
"107",120,""
"108",120,""
"109",120,""
"110",120,""
"111",120,"PART ONE--The Old Buccaneer"
"112",120,""
"113",120,""
"114",120,""
"115",120,""
"116",120,"1"
"117",120,""
"118",120,"The Old Sea-dog at the Admiral Benbow"
"119",120,""
"120",120,""
"121",120,"SQUIRE TRELAWNEY, Dr. Livesey, and the rest of these gentlemen having"
"122",120,"asked me to write down the whole particulars about Treasure Island, from"
"123",120,"the beginning to the end, keeping nothing back but the bearings of the"
"124",120,"island, and that only because there is still treasure not yet lifted, I"
"125",120,"take up my pen in the year of grace 17__ and go back to the time when"
"126",120,"my father kept the Admiral Benbow inn and the brown old seaman with the"
"127",120,"sabre cut first took up his lodging under our roof."
"128",120,""
"129",120,"I remember him as if it were yesterday, as he came plodding to the"
"130",120,"inn door, his sea-chest following behind him in a hand-barrow--a"
"131",120,"tall, strong, heavy, nut-brown man, his tarry pigtail falling over the"
"132",120,"shoulder of his soiled blue coat, his hands ragged and scarred, with"
"133",120,"black, broken nails, and the sabre cut across one cheek, a dirty, livid"
"134",120,"white. I remember him looking round the cover and whistling to himself"
"135",120,"as he did so, and then breaking out in that old sea-song that he sang so"
"136",120,"often afterwards:"
"137",120,""
"138",120,"          ""Fifteen men on the dead man's chest--"
"139",120,"             Yo-ho-ho, and a bottle of rum!"""
"140",120,""
"141",120,"in the high, old tottering voice that seemed to have been tuned and"
"142",120,"broken at the capstan bars. Then he rapped on the door with a bit of"
"143",120,"stick like a handspike that he carried, and when my father appeared,"
"144",120,"called roughly for a glass of rum. This, when it was brought to him,"
"145",120,"he drank slowly, like a connoisseur, lingering on the taste and still"
"146",120,"looking about him at the cliffs and up at our signboard."
"147",120,""
"148",120,"""This is a handy cove,"" says he at length; ""and a pleasant sittyated"
"149",120,"grog-shop. Much company, mate?"""
"150",120,""
"151",120,"My father told him no, very little company, the more was the pity."
"152",120,""
"153",120,"""Well, then,"" said he, ""this is the berth for me. Here you, matey,"" he"
"154",120,"cried to the man who trundled the barrow; ""bring up alongside and help"
"155",120,"up my chest. I'll stay here a bit,"" he continued. ""I'm a plain man; rum"
"156",120,"and bacon and eggs is what I want, and that head up there for to watch"
"157",120,"ships off. What you mought call me? You mought call me captain. Oh, I"
"158",120,"see what you're at--there""; and he threw down three or four gold pieces"
"159",120,"on the threshold. ""You can tell me when I've worked through that,"" says"
"160",120,"he, looking as fierce as a commander."
"161",120,""
"162",120,"And indeed bad as his clothes were and coarsely as he spoke, he had none"
"163",120,"of the appearance of a man who sailed before the mast, but seemed like"
"164",120,"a mate or skipper accustomed to be obeyed or to strike. The man who came"
"165",120,"with the barrow told us the mail had set him down the morning before at"
"166",120,"the Royal George, that he had inquired what inns there were along the"
"167",120,"coast, and hearing ours well spoken of, I suppose, and described as"
"168",120,"lonely, had chosen it from the others for his place of residence. And"
"169",120,"that was all we could learn of our guest."
"170",120,""
"171",120,"He was a very silent man by custom. All day he hung round the cove or"
"172",120,"upon the cliffs with a brass telescope; all evening he sat in a corner"
"173",120,"of the parlour next the fire and drank rum and water very strong. Mostly"
"174",120,"he would not speak when spoken to, only look up sudden and fierce and"
"175",120,"blow through his nose like a fog-horn; and we and the people who came"
"176",120,"about our house soon learned to let him be. Every day when he came back"
"177",120,"from his stroll he would ask if any seafaring men had gone by along the"
"178",120,"road. At first we thought it was the want of company of his own kind"
"179",120,"that made him ask this question, but at last we began to see he was"
"180",120,"desirous to avoid them. When a seaman did put up at the Admiral Benbow"
"181",120,"(as now and then some did, making by the coast road for Bristol) he"
"182",120,"would look in at him through the curtained door before he entered the"
"183",120,"parlour; and he was always sure to be as silent as a mouse when any such"
"184",120,"was present. For me, at least, there was no secret about the matter, for"
"185",120,"I was, in a way, a sharer in his alarms. He had taken me aside one day"
"186",120,"and promised me a silver fourpenny on the first of every month if I"
"187",120,"would only keep my ""weather-eye open for a seafaring man with one leg"""
"188",120,"and let him know the moment he appeared. Often enough when the first"
"189",120,"of the month came round and I applied to him for my wage, he would only"
"190",120,"blow through his nose at me and stare me down, but before the week was"
"191",120,"out he was sure to think better of it, bring me my four-penny piece, and"
"192",120,"repeat his orders to look out for ""the seafaring man with one leg."""
"193",120,""
"194",120,"How that personage haunted my dreams, I need scarcely tell you. On"
"195",120,"stormy nights, when the wind shook the four corners of the house and"
"196",120,"the surf roared along the cove and up the cliffs, I would see him in a"
"197",120,"thousand forms, and with a thousand diabolical expressions. Now the leg"
"198",120,"would be cut off at the knee, now at the hip; now he was a monstrous"
"199",120,"kind of a creature who had never had but the one leg, and that in the"
"200",120,"middle of his body. To see him leap and run and pursue me over hedge and"
"201",120,"ditch was the worst of nightmares. And altogether I paid pretty dear for"
"202",120,"my monthly fourpenny piece, in the shape of these abominable fancies."
"203",120,""
"204",120,"But though I was so terrified by the idea of the seafaring man with one"
"205",120,"leg, I was far less afraid of the captain himself than anybody else who"
"206",120,"knew him. There were nights when he took a deal more rum and water"
"207",120,"than his head would carry; and then he would sometimes sit and sing his"
"208",120,"wicked, old, wild sea-songs, minding nobody; but sometimes he would call"
"209",120,"for glasses round and force all the trembling company to listen to his"
"210",120,"stories or bear a chorus to his singing. Often I have heard the house"
"211",120,"shaking with ""Yo-ho-ho, and a bottle of rum,"" all the neighbours joining"
"212",120,"in for dear life, with the fear of death upon them, and each singing"
"213",120,"louder than the other to avoid remark. For in these fits he was the most"
"214",120,"overriding companion ever known; he would slap his hand on the table for"
"215",120,"silence all round; he would fly up in a passion of anger at a question,"
"216",120,"or sometimes because none was put, and so he judged the company was not"
"217",120,"following his story. Nor would he allow anyone to leave the inn till he"
"218",120,"had drunk himself sleepy and reeled off to bed."
"219",120,""
"220",120,"His stories were what frightened people worst of all. Dreadful stories"
"221",120,"they were--about hanging, and walking the plank, and storms at sea, and"
"222",120,"the Dry Tortugas, and wild deeds and places on the Spanish Main. By his"
"223",120,"own account he must have lived his life among some of the wickedest men"
"224",120,"that God ever allowed upon the sea, and the language in which he told"
"225",120,"these stories shocked our plain country people almost as much as the"
"226",120,"crimes that he described. My father was always saying the inn would be"
"227",120,"ruined, for people would soon cease coming there to be tyrannized over"
"228",120,"and put down, and sent shivering to their beds; but I really believe his"
"229",120,"presence did us good. People were frightened at the time, but on looking"
"230",120,"back they rather liked it; it was a fine excitement in a quiet country"
"231",120,"life, and there was even a party of the younger men who pretended to"
"232",120,"admire him, calling him a ""true sea-dog"" and a ""real old salt"" and"
"233",120,"such like names, and saying there was the sort of man that made England"
"234",120,"terrible at sea."
"235",120,""
"236",120,"In one way, indeed, he bade fair to ruin us, for he kept on staying week"
"237",120,"after week, and at last month after month, so that all the money had"
"238",120,"been long exhausted, and still my father never plucked up the heart to"
"239",120,"insist on having more. If ever he mentioned it, the captain blew through"
"240",120,"his nose so loudly that you might say he roared, and stared my poor"
"241",120,"father out of the room. I have seen him wringing his hands after such a"
"242",120,"rebuff, and I am sure the annoyance and the terror he lived in must have"
"243",120,"greatly hastened his early and unhappy death."
"244",120,""
"245",120,"All the time he lived with us the captain made no change whatever in his"
"246",120,"dress but to buy some stockings from a hawker. One of the cocks of his"
"247",120,"hat having fallen down, he let it hang from that day forth, though it"
"248",120,"was a great annoyance when it blew. I remember the appearance of his"
"249",120,"coat, which he patched himself upstairs in his room, and which, before"
"250",120,"the end, was nothing but patches. He never wrote or received a letter,"
"251",120,"and he never spoke with any but the neighbours, and with these, for the"
"252",120,"most part, only when drunk on rum. The great sea-chest none of us had"
"253",120,"ever seen open."
"254",120,""
"255",120,"He was only once crossed, and that was towards the end, when my poor"
"256",120,"father was far gone in a decline that took him off. Dr. Livesey came"
"257",120,"late one afternoon to see the patient, took a bit of dinner from my"
"258",120,"mother, and went into the parlour to smoke a pipe until his horse should"
"259",120,"come down from the hamlet, for we had no stabling at the old Benbow. I"
"260",120,"followed him in, and I remember observing the contrast the neat, bright"
"261",120,"doctor, with his powder as white as snow and his bright, black eyes and"
"262",120,"pleasant manners, made with the coltish country folk, and above all,"
"263",120,"with that filthy, heavy, bleared scarecrow of a pirate of ours, sitting,"
"264",120,"far gone in rum, with his arms on the table. Suddenly he--the captain,"
"265",120,"that is--began to pipe up his eternal song:"
"266",120,""
"267",120,"          ""Fifteen men on the dead man's chest--"
"268",120,"             Yo-ho-ho, and a bottle of rum!"
"269",120,"           Drink and the devil had done for the rest--"
"270",120,"             Yo-ho-ho, and a bottle of rum!"""
"271",120,""
"272",120,"At first I had supposed ""the dead man's chest"" to be that identical big"
"273",120,"box of his upstairs in the front room, and the thought had been mingled"
"274",120,"in my nightmares with that of the one-legged seafaring man. But by this"
"275",120,"time we had all long ceased to pay any particular notice to the song; it"
"276",120,"was new, that night, to nobody but Dr. Livesey, and on him I observed it"
"277",120,"did not produce an agreeable effect, for he looked up for a moment quite"
"278",120,"angrily before he went on with his talk to old Taylor, the gardener, on"
"279",120,"a new cure for the rheumatics. In the meantime, the captain gradually"
"280",120,"brightened up at his own music, and at last flapped his hand upon"
"281",120,"the table before him in a way we all knew to mean silence. The voices"
"282",120,"stopped at once, all but Dr. Livesey's; he went on as before speaking"
"283",120,"clear and kind and drawing briskly at his pipe between every word or"
"284",120,"two. The captain glared at him for a while, flapped his hand again,"
"285",120,"glared still harder, and at last broke out with a villainous, low oath,"
"286",120,"""Silence, there, between decks!"""
"287",120,""
"288",120,"""Were you addressing me, sir?"" says the doctor; and when the ruffian had"
"289",120,"told him, with another oath, that this was so, ""I have only one thing to"
"290",120,"say to you, sir,"" replies the doctor, ""that if you keep on drinking rum,"
"291",120,"the world will soon be quit of a very dirty scoundrel!"""
"292",120,""
"293",120,"The old fellow's fury was awful. He sprang to his feet, drew and opened"
"294",120,"a sailor's clasp-knife, and balancing it open on the palm of his hand,"
"295",120,"threatened to pin the doctor to the wall."
"296",120,""
"297",120,"The doctor never so much as moved. He spoke to him as before, over his"
"298",120,"shoulder and in the same tone of voice, rather high, so that all the"
"299",120,"room might hear, but perfectly calm and steady: ""If you do not put that"
"300",120,"knife this instant in your pocket, I promise, upon my honour, you shall"
"301",120,"hang at the next assizes."""
"302",120,""
"303",120,"Then followed a battle of looks between them, but the captain soon"
"304",120,"knuckled under, put up his weapon, and resumed his seat, grumbling like"
"305",120,"a beaten dog."
"306",120,""
"307",120,"""And now, sir,"" continued the doctor, ""since I now know there's such a"
"308",120,"fellow in my district, you may count I'll have an eye upon you day and"
"309",120,"night. I'm not a doctor only; I'm a magistrate; and if I catch a breath"
"310",120,"of complaint against you, if it's only for a piece of incivility like"
"311",120,"tonight's, I'll take effectual means to have you hunted down and routed"
"312",120,"out of this. Let that suffice."""
"313",120,""
"314",120,"Soon after, Dr. Livesey's horse came to the door and he rode away, but"
"315",120,"the captain held his peace that evening, and for many evenings to come."
"316",120,""
"317",120,""
"318",120,""
"319",120,""
"320",120,"2"
"321",120,""
"322",120,"Black Dog Appears and Disappears"
"323",120,""
"324",120,""
"325",120,"IT was not very long after this that there occurred the first of the"
"326",120,"mysterious events that rid us at last of the captain, though not, as you"
"327",120,"will see, of his affairs. It was a bitter cold winter, with long, hard"
"328",120,"frosts and heavy gales; and it was plain from the first that my poor"
"329",120,"father was little likely to see the spring. He sank daily, and my mother"
"330",120,"and I had all the inn upon our hands, and were kept busy enough without"
"331",120,"paying much regard to our unpleasant guest."
"332",120,""
"333",120,"It was one January morning, very early--a pinching, frosty morning--the"
"334",120,"cove all grey with hoar-frost, the ripple lapping softly on the stones,"
"335",120,"the sun still low and only touching the hilltops and shining far to"
"336",120,"seaward. The captain had risen earlier than usual and set out down the"
"337",120,"beach, his cutlass swinging under the broad skirts of the old blue coat,"
"338",120,"his brass telescope under his arm, his hat tilted back upon his head. I"
"339",120,"remember his breath hanging like smoke in his wake as he strode off, and"
"340",120,"the last sound I heard of him as he turned the big rock was a loud snort"
"341",120,"of indignation, as though his mind was still running upon Dr. Livesey."
"342",120,""
"343",120,"Well, mother was upstairs with father and I was laying the"
"344",120,"breakfast-table against the captain's return when the parlour door"
"345",120,"opened and a man stepped in on whom I had never set my eyes before. He"
"346",120,"was a pale, tallowy creature, wanting two fingers of the left hand, and"
"347",120,"though he wore a cutlass, he did not look much like a fighter. I"
"348",120,"had always my eye open for seafaring men, with one leg or two, and I"
"349",120,"remember this one puzzled me. He was not sailorly, and yet he had a"
"350",120,"smack of the sea about him too."
"351",120,""
"352",120,"I asked him what was for his service, and he said he would take rum; but"
"353",120,"as I was going out of the room to fetch it, he sat down upon a table"
"354",120,"and motioned me to draw near. I paused where I was, with my napkin in my"
"355",120,"hand."
"356",120,""
"357",120,"""Come here, sonny,"" says he. ""Come nearer here."""
"358",120,""
"359",120,"I took a step nearer."
"360",120,""
"361",120,"""Is this here table for my mate Bill?"" he asked with a kind of leer."
"362",120,""
"363",120,"I told him I did not know his mate Bill, and this was for a person who"
"364",120,"stayed in our house whom we called the captain."
"365",120,""
"366",120,"""Well,"" said he, ""my mate Bill would be called the captain, as like"
"367",120,"as not. He has a cut on one cheek and a mighty pleasant way with him,"
"368",120,"particularly in drink, has my mate Bill. We'll put it, for argument"
"369",120,"like, that your captain has a cut on one cheek--and we'll put it, if you"
"370",120,"like, that that cheek's the right one. Ah, well! I told you. Now, is my"
"371",120,"mate Bill in this here house?"""
"372",120,""
"373",120,"I told him he was out walking."
"374",120,""
"375",120,"""Which way, sonny? Which way is he gone?"""
"376",120,""
"377",120,"And when I had pointed out the rock and told him how the captain was"
"378",120,"likely to return, and how soon, and answered a few other questions,"
"379",120,"""Ah,"" said he, ""this'll be as good as drink to my mate Bill."""
"380",120,""
"381",120,"The expression of his face as he said these words was not at all"
"382",120,"pleasant, and I had my own reasons for thinking that the stranger was"
"383",120,"mistaken, even supposing he meant what he said. But it was no affair of"
"384",120,"mine, I thought; and besides, it was difficult to know what to do. The"
"385",120,"stranger kept hanging about just inside the inn door, peering round the"
"386",120,"corner like a cat waiting for a mouse. Once I stepped out myself into"
"387",120,"the road, but he immediately called me back, and as I did not obey quick"
"388",120,"enough for his fancy, a most horrible change came over his tallowy face,"
"389",120,"and he ordered me in with an oath that made me jump. As soon as I"
"390",120,"was back again he returned to his former manner, half fawning, half"
"391",120,"sneering, patted me on the shoulder, told me I was a good boy and he had"
"392",120,"taken quite a fancy to me. ""I have a son of my own,"" said he, ""as like"
"393",120,"you as two blocks, and he's all the pride of my 'art. But the great"
"394",120,"thing for boys is discipline, sonny--discipline. Now, if you had sailed"
"395",120,"along of Bill, you wouldn't have stood there to be spoke to twice--not"
"396",120,"you. That was never Bill's way, nor the way of sich as sailed with him."
"397",120,"And here, sure enough, is my mate Bill, with a spy-glass under his arm,"
"398",120,"bless his old 'art, to be sure. You and me'll just go back into the"
"399",120,"parlour, sonny, and get behind the door, and we'll give Bill a little"
"400",120,"surprise--bless his 'art, I say again."""
"401",120,""
"402",120,"So saying, the stranger backed along with me into the parlour and put me"
"403",120,"behind him in the corner so that we were both hidden by the open door. I"
"404",120,"was very uneasy and alarmed, as you may fancy, and it rather added to my"
"405",120,"fears to observe that the stranger was certainly frightened himself. He"
"406",120,"cleared the hilt of his cutlass and loosened the blade in the sheath;"
"407",120,"and all the time we were waiting there he kept swallowing as if he felt"
"408",120,"what we used to call a lump in the throat."
"409",120,""
"410",120,"At last in strode the captain, slammed the door behind him, without"
"411",120,"looking to the right or left, and marched straight across the room to"
"412",120,"where his breakfast awaited him."
"413",120,""
"414",120,"""Bill,"" said the stranger in a voice that I thought he had tried to make"
"415",120,"bold and big."
"416",120,""
"417",120,"The captain spun round on his heel and fronted us; all the brown had"
"418",120,"gone out of his face, and even his nose was blue; he had the look of a"
"419",120,"man who sees a ghost, or the evil one, or something worse, if anything"
"420",120,"can be; and upon my word, I felt sorry to see him all in a moment turn"
"421",120,"so old and sick."
"422",120,""
"423",120,"""Come, Bill, you know me; you know an old shipmate, Bill, surely,"" said"
"424",120,"the stranger."
"425",120,""
"426",120,"The captain made a sort of gasp."
"427",120,""
"428",120,"""Black Dog!"" said he."
"429",120,""
"430",120,"""And who else?"" returned the other, getting more at his ease. ""Black"
"431",120,"Dog as ever was, come for to see his old shipmate Billy, at the Admiral"
"432",120,"Benbow inn. Ah, Bill, Bill, we have seen a sight of times, us two, since"
"433",120,"I lost them two talons,"" holding up his mutilated hand."
"434",120,""
"435",120,"""Now, look here,"" said the captain; ""you've run me down; here I am;"
"436",120,"well, then, speak up; what is it?"""
"437",120,""
"438",120,"""That's you, Bill,"" returned Black Dog, ""you're in the right of it,"
"439",120,"Billy. I'll have a glass of rum from this dear child here, as I've took"
"440",120,"such a liking to; and we'll sit down, if you please, and talk square,"
"441",120,"like old shipmates."""
"442",120,""
"443",120,"When I returned with the rum, they were already seated on either side"
"444",120,"of the captain's breakfast-table--Black Dog next to the door and"
"445",120,"sitting sideways so as to have one eye on his old shipmate and one, as I"
"446",120,"thought, on his retreat."
"447",120,""
"448",120,"He bade me go and leave the door wide open. ""None of your keyholes for"
"449",120,"me, sonny,"" he said; and I left them together and retired into the bar."
"450",120,""
"451",120,"For a long time, though I certainly did my best to listen, I could hear"
"452",120,"nothing but a low gattling; but at last the voices began to grow higher,"
"453",120,"and I could pick up a word or two, mostly oaths, from the captain."
"454",120,""
"455",120,"""No, no, no, no; and an end of it!"" he cried once. And again, ""If it"
"456",120,"comes to swinging, swing all, say I."""
"457",120,""
"458",120,"Then all of a sudden there was a tremendous explosion of oaths and"
"459",120,"other noises--the chair and table went over in a lump, a clash of steel"
"460",120,"followed, and then a cry of pain, and the next instant I saw Black"
"461",120,"Dog in full flight, and the captain hotly pursuing, both with drawn"
"462",120,"cutlasses, and the former streaming blood from the left shoulder. Just"
"463",120,"at the door the captain aimed at the fugitive one last tremendous"
"464",120,"cut, which would certainly have split him to the chine had it not been"
"465",120,"intercepted by our big signboard of Admiral Benbow. You may see the"
"466",120,"notch on the lower side of the frame to this day."
"467",120,""
"468",120,"That blow was the last of the battle. Once out upon the road, Black"
"469",120,"Dog, in spite of his wound, showed a wonderful clean pair of heels and"
"470",120,"disappeared over the edge of the hill in half a minute. The captain, for"
"471",120,"his part, stood staring at the signboard like a bewildered man. Then he"
"472",120,"passed his hand over his eyes several times and at last turned back into"
"473",120,"the house."
"474",120,""
"475",120,"""Jim,"" says he, ""rum""; and as he spoke, he reeled a little, and caught"
"476",120,"himself with one hand against the wall."
"477",120,""
"478",120,"""Are you hurt?"" cried I."
"479",120,""
"480",120,"""Rum,"" he repeated. ""I must get away from here. Rum! Rum!"""
"481",120,""
"482",120,"I ran to fetch it, but I was quite unsteadied by all that had fallen"
"483",120,"out, and I broke one glass and fouled the tap, and while I was still"
"484",120,"getting in my own way, I heard a loud fall in the parlour, and running"
"485",120,"in, beheld the captain lying full length upon the floor. At the same"
"486",120,"instant my mother, alarmed by the cries and fighting, came running"
"487",120,"downstairs to help me. Between us we raised his head. He was breathing"
"488",120,"very loud and hard, but his eyes were closed and his face a horrible"
"489",120,"colour."
"490",120,""
"491",120,"""Dear, deary me,"" cried my mother, ""what a disgrace upon the house! And"
"492",120,"your poor father sick!"""
"493",120,""
"494",120,"In the meantime, we had no idea what to do to help the captain, nor any"
"495",120,"other thought but that he had got his death-hurt in the scuffle with"
"496",120,"the stranger. I got the rum, to be sure, and tried to put it down his"
"497",120,"throat, but his teeth were tightly shut and his jaws as strong as iron."
"498",120,"It was a happy relief for us when the door opened and Doctor Livesey"
"499",120,"came in, on his visit to my father."
"500",120,""
"501",120,"""Oh, doctor,"" we cried, ""what shall we do? Where is he wounded?"""
"502",120,""
"503",120,"""Wounded? A fiddle-stick's end!"" said the doctor. ""No more wounded than"
"504",120,"you or I. The man has had a stroke, as I warned him. Now, Mrs. Hawkins,"
"505",120,"just you run upstairs to your husband and tell him, if possible, nothing"
"506",120,"about it. For my part, I must do my best to save this fellow's trebly"
"507",120,"worthless life; Jim, you get me a basin."""
"508",120,""
"509",120,"When I got back with the basin, the doctor had already ripped up the"
"510",120,"captain's sleeve and exposed his great sinewy arm. It was tattooed"
"511",120,"in several places. ""Here's luck,"" ""A fair wind,"" and ""Billy Bones his"
"512",120,"fancy,"" were very neatly and clearly executed on the forearm; and up"
"513",120,"near the shoulder there was a sketch of a gallows and a man hanging from"
"514",120,"it--done, as I thought, with great spirit."
"515",120,""
"516",120,"""Prophetic,"" said the doctor, touching this picture with his finger."
"517",120,"""And now, Master Billy Bones, if that be your name, we'll have a look at"
"518",120,"the colour of your blood. Jim,"" he said, ""are you afraid of blood?"""
"519",120,""
"520",120,"""No, sir,"" said I."
"521",120,""
"522",120,"""Well, then,"" said he, ""you hold the basin""; and with that he took his"
"523",120,"lancet and opened a vein."
"524",120,""
"525",120,"A great deal of blood was taken before the captain opened his eyes"
"526",120,"and looked mistily about him. First he recognized the doctor with"
"527",120,"an unmistakable frown; then his glance fell upon me, and he looked"
"528",120,"relieved. But suddenly his colour changed, and he tried to raise"
"529",120,"himself, crying, ""Where's Black Dog?"""
"530",120,""
"531",120,"""There is no Black Dog here,"" said the doctor, ""except what you have"
"532",120,"on your own back. You have been drinking rum; you have had a stroke,"
"533",120,"precisely as I told you; and I have just, very much against my own will,"
"534",120,"dragged you headforemost out of the grave. Now, Mr. Bones--"""
"535",120,""
"536",120,"""That's not my name,"" he interrupted."
"537",120,""
"538",120,"""Much I care,"" returned the doctor. ""It's the name of a buccaneer of my"
"539",120,"acquaintance; and I call you by it for the sake of shortness, and what I"
"540",120,"have to say to you is this; one glass of rum won't kill you, but if"
"541",120,"you take one you'll take another and another, and I stake my wig if you"
"542",120,"don't break off short, you'll die--do you understand that?--die, and go"
"543",120,"to your own place, like the man in the Bible. Come, now, make an effort."
"544",120,"I'll help you to your bed for once."""
"545",120,""
"546",120,"Between us, with much trouble, we managed to hoist him upstairs, and"
"547",120,"laid him on his bed, where his head fell back on the pillow as if he"
"548",120,"were almost fainting."
"549",120,""
"550",120,"""Now, mind you,"" said the doctor, ""I clear my conscience--the name of"
"551",120,"rum for you is death."""
"552",120,""
"553",120,"And with that he went off to see my father, taking me with him by the"
"554",120,"arm."
"555",120,""
"556",120,"""This is nothing,"" he said as soon as he had closed the door. ""I have"
"557",120,"drawn blood enough to keep him quiet awhile; he should lie for a week"
"558",120,"where he is--that is the best thing for him and you; but another stroke"
"559",120,"would settle him."""
"560",120,""
"561",120,""
"562",120,""
"563",120,""
"564",120,"3"
"565",120,""
"566",120,"The Black Spot"
"567",120,""
"568",120,"ABOUT noon I stopped at the captain's door with some cooling drinks"
"569",120,"and medicines. He was lying very much as we had left him, only a little"
"570",120,"higher, and he seemed both weak and excited."
"571",120,""
"572",120,"""Jim,"" he said, ""you're the only one here that's worth anything, and you"
"573",120,"know I've been always good to you. Never a month but I've given you a"
"574",120,"silver fourpenny for yourself. And now you see, mate, I'm pretty low,"
"575",120,"and deserted by all; and Jim, you'll bring me one noggin of rum, now,"
"576",120,"won't you, matey?"""
"577",120,""
"578",120,"""The doctor--"" I began."
"579",120,""
